Record,Claim Type,Claim Name,Points,Bettor,Bettor_Name,Created Time,Team,Team_Name,Week,Week Name,Team 1 Score,Team 2 Score,Team 3 Score,Weight Points,Current Week Weight,Current Week Run,Current Week Sport,Current Week Exercise,Current Week Food,Current Week Booze,Current Week Walking,Current Week Score,W1 Score,W2 Score,W3 Score,W4 Score,W5 Score,W6 Score,W7 Score,W8 Score,W9 Score,W10 Score,W11 Score,W12 Score,W13 Score,W14 Score,W15 Score,Current Week,Created,Icon
12031,Food,Food,2,Sooper,Sooper,7/11/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",2️⃣
12032,Booze,Booze,2,Ginn,Ginn,7/11/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",2️⃣
12033,Food,Food,4,Ginn,Ginn,7/11/2022,Team 2,Team 2,Week 1,Week 1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",2️⃣
12034,Food,Food,2,CSlats,CSlats,7/11/2022,Team 1,Team 1,Week 1,Week 1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",1️⃣
12035,Exercise,Exercise,5,CSlats,CSlats,7/11/2022,Team 1,Team 1,Week 1,Week 1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 11, 2022",1️⃣
12036,Walking,Walking,1,Weech,Weech,7/12/2022,Team 1,Team 1,Week 1,Week 1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",1️⃣
12037,Run,Run,8,Bobby,Bobby,7/12/2022,Team 1,Team 1,Week 1,Week 1,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",1️⃣
12038,Exercise,Exercise,8,Oki,Oki,7/12/2022,Team 3,Team 3,Week 1,Week 1,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",3️⃣
12039,Exercise,Exercise,5,Brent,Brent,7/12/2022,Team 3,Team 3,Week 1,Week 1,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",3️⃣
12040,Exercise,Exercise,8,Ginn,Ginn,7/12/2022,Team 2,Team 2,Week 1,Week 1,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",2️⃣
12041,Food,Food,4,Brent,Brent,7/12/2022,Team 3,Team 3,Week 1,Week 1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",3️⃣
12042,Food,Food,4,Ginn,Ginn,7/12/2022,Team 2,Team 2,Week 1,Week 1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",2️⃣
12043,Booze,Booze,2,Ginn,Ginn,7/12/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",2️⃣
12044,Exercise,Exercise,6,Bill,Bill,7/12/2022,Team 3,Team 3,Week 1,Week 1,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",3️⃣
12045,Booze,Booze,2,Bill,Bill,7/12/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",3️⃣
12046,Food,Food,4,Bill,Bill,7/12/2022,Team 3,Team 3,Week 1,Week 1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",3️⃣
12047,Food,Food,4,Oki,Oki,7/12/2022,Team 3,Team 3,Week 1,Week 1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",3️⃣
12048,Booze,Booze,2,Oki,Oki,7/12/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 12, 2022",3️⃣
12049,Food,Food,2,Sooper,Sooper,7/13/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",2️⃣
12050,Food,Food,2,Bobby,Bobby,7/13/2022,Team 1,Team 1,Week 1,Week 1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",1️⃣
12051,Walking,Walking,2,Weech,Weech,7/13/2022,Team 1,Team 1,Week 1,Week 1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",1️⃣
12052,Exercise,Exercise,4,Oki,Oki,7/13/2022,Team 3,Team 3,Week 1,Week 1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",3️⃣
12053,Run,Run,2,Oki,Oki,7/13/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",3️⃣
12054,Walking,Walking,1,Sooper,Sooper,7/13/2022,Team 2,Team 2,Week 1,Week 1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",2️⃣
12055,Run,Run,5,Bill,Bill,7/13/2022,Team 3,Team 3,Week 1,Week 1,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",3️⃣
12056,Run,Run,3,Ginn,Ginn,7/13/2022,Team 2,Team 2,Week 1,Week 1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",2️⃣
12057,Walking,Walking,1,Sooper,Sooper,7/13/2022,Team 2,Team 2,Week 1,Week 1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",2️⃣
12058,Food,Food,2,Sooper,Sooper,7/13/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",2️⃣
12059,Booze,Booze,2,Bill,Bill,7/13/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",3️⃣
12060,Booze,Booze,2,Oki,Oki,7/13/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",3️⃣
12061,Food,Food,4,Ginn,Ginn,7/13/2022,Team 2,Team 2,Week 1,Week 1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",2️⃣
12062,Booze,Booze,2,Ginn,Ginn,7/13/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",2️⃣
12063,Exercise,Exercise,6,Brent,Brent,7/13/2022,Team 3,Team 3,Week 1,Week 1,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",3️⃣
12064,Food,Food,4,Brent,Brent,7/13/2022,Team 3,Team 3,Week 1,Week 1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",3️⃣
12065,Walking,Walking,1,Brent,Brent,7/13/2022,Team 3,Team 3,Week 1,Week 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",3️⃣
12066,Booze,Booze,2,CSlats,CSlats,7/13/2022,Team 1,Team 1,Week 1,Week 1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",1️⃣
12067,Food,Food,4,CSlats,CSlats,7/13/2022,Team 1,Team 1,Week 1,Week 1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",1️⃣
12068,Exercise,Exercise,7,CSlats,CSlats,7/13/2022,Team 1,Team 1,Week 1,Week 1,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 13, 2022",1️⃣
12069,Food,Food,4,Bobby,Bobby,7/14/2022,Team 1,Team 1,Week 1,Week 1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",1️⃣
12070,Walking,Walking,1,Bobby,Bobby,7/14/2022,Team 1,Team 1,Week 1,Week 1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",1️⃣
12071,Run,Run,10,Bobby,Bobby,7/14/2022,Team 1,Team 1,Week 1,Week 1,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",1️⃣
12072,Sport,Sport,3,Sooper,Sooper,7/14/2022,Team 2,Team 2,Week 1,Week 1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",2️⃣
12073,Food,Food,4,Sooper,Sooper,7/14/2022,Team 2,Team 2,Week 1,Week 1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",2️⃣
12074,Booze,Booze,2,Ginn,Ginn,7/14/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",2️⃣
12075,Food,Food,4,Ginn,Ginn,7/14/2022,Team 2,Team 2,Week 1,Week 1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",2️⃣
12076,Sport,Sport,3,Ginn,Ginn,7/14/2022,Team 2,Team 2,Week 1,Week 1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",2️⃣
12077,Booze,Booze,2,Bill,Bill,7/14/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",3️⃣
12078,Sport,Sport,3,Bill,Bill,7/14/2022,Team 3,Team 3,Week 1,Week 1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",3️⃣
12079,Sport,Sport,3,Oki,Oki,7/14/2022,Team 3,Team 3,Week 1,Week 1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",3️⃣
12080,Food,Food,-4,Sooper,Sooper,7/14/2022,Team 2,Team 2,Week 1,Week 1,0,-4,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",2️⃣
12081,Booze,Booze,2,CSlats,CSlats,7/14/2022,Team 1,Team 1,Week 1,Week 1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",1️⃣
12082,Food,Food,2,CSlats,CSlats,7/14/2022,Team 1,Team 1,Week 1,Week 1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",1️⃣
12083,Sport,Sport,3,CSlats,CSlats,7/14/2022,Team 1,Team 1,Week 1,Week 1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 14, 2022",1️⃣
12084,Walking,Walking,1,Ty,Ty,7/15/2022,Team 2,Team 2,Week 1,Week 1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",2️⃣
12085,Walking,Walking,2,Weech,Weech,7/15/2022,Team 1,Team 1,Week 1,Week 1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",1️⃣
12086,Food,Food,4,Bobby,Bobby,7/15/2022,Team 1,Team 1,Week 1,Week 1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",1️⃣
12087,Sport,Sport,3,Weech,Weech,7/15/2022,Team 1,Team 1,Week 1,Week 1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",1️⃣
12088,Sport,Sport,3,Bobby,Bobby,7/15/2022,Team 1,Team 1,Week 1,Week 1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",1️⃣
12089,Sport,Sport,6,Brent,Brent,7/15/2022,Team 3,Team 3,Week 1,Week 1,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",3️⃣
12090,Walking,Walking,2,Brent,Brent,7/15/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",3️⃣
12091,Walking,Walking,1,Oki,Oki,7/15/2022,Team 3,Team 3,Week 1,Week 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",3️⃣
12092,Walking,Walking,1,Sooper,Sooper,7/15/2022,Team 2,Team 2,Week 1,Week 1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",2️⃣
12093,Sport,Sport,3,Bobby,Bobby,7/15/2022,Team 1,Team 1,Week 1,Week 1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",1️⃣
12094,Exercise,Exercise,5,Brent,Brent,7/15/2022,Team 3,Team 3,Week 1,Week 1,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",3️⃣
12095,Exercise,Exercise,8,Ginn,Ginn,7/15/2022,Team 2,Team 2,Week 1,Week 1,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",2️⃣
12096,Run,Run,10,Bill,Bill,7/15/2022,Team 3,Team 3,Week 1,Week 1,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",3️⃣
12097,Booze,Booze,2,Bill,Bill,7/15/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",3️⃣
12098,Booze,Booze,2,Ginn,Ginn,7/15/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",2️⃣
12099,Food,Food,2,Ginn,Ginn,7/15/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",2️⃣
12100,Booze,Booze,2,Oki,Oki,7/15/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 15, 2022",3️⃣
12101,Walking,Walking,1,Ty,Ty,7/16/2022,Team 2,Team 2,Week 1,Week 1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 16, 2022",2️⃣
12102,Exercise,Exercise,6,Brent,Brent,7/16/2022,Team 3,Team 3,Week 1,Week 1,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 16, 2022",3️⃣
12103,Walking,Walking,1,Weech,Weech,7/16/2022,Team 1,Team 1,Week 1,Week 1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 16, 2022",1️⃣
12104,Walking,Walking,1,Sooper,Sooper,7/16/2022,Team 2,Team 2,Week 1,Week 1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 16, 2022",2️⃣
12105,Run,Run,16,Bobby,Bobby,7/16/2022,Team 1,Team 1,Week 1,Week 1,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 16, 2022",1️⃣
12106,Exercise,Exercise,6,Bill,Bill,7/16/2022,Team 3,Team 3,Week 1,Week 1,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 16, 2022",3️⃣
12107,Walking,Walking,1,Sooper,Sooper,7/16/2022,Team 2,Team 2,Week 1,Week 1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 16, 2022",2️⃣
12108,Sport,Sport,3,Ginn,Ginn,7/16/2022,Team 2,Team 2,Week 1,Week 1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 16, 2022",2️⃣
12109,Walking,Walking,1,Ty,Ty,7/17/2022,Team 2,Team 2,Week 1,Week 1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",2️⃣
12111,Walking,Walking,2,Brent,Brent,7/17/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",3️⃣
12112,Run,Run,10,Ty,Ty,7/17/2022,Team 2,Team 2,Week 1,Week 1,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",2️⃣
12113,Walking,Walking,2,Sooper,Sooper,7/17/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",2️⃣
12114,Booze,Booze,2,Sooper,Sooper,7/17/2022,Team 2,Team 2,Week 1,Week 1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",2️⃣
12115,Booze,Booze,2,Bill,Bill,7/17/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",3️⃣
12116,Booze,Booze,2,Oki,Oki,7/17/2022,Team 3,Team 3,Week 1,Week 1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",3️⃣
12117,Walking,Walking,1,Bobby,Bobby,7/17/2022,Team 1,Team 1,Week 1,Week 1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",1️⃣
12118,Booze,Booze,2,CSlats,CSlats,7/17/2022,Team 1,Team 1,Week 1,Week 1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",1️⃣
12119,Food,Food,4,CSlats,CSlats,7/17/2022,Team 1,Team 1,Week 1,Week 1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",1️⃣
12120,Exercise,Exercise,7,CSlats,CSlats,7/17/2022,Team 1,Team 1,Week 1,Week 1,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 17, 2022",1️⃣
12121,Weight,Weight,14,Bobby,Bobby,7/18/2022,Team 1,Team 1,Week 1,Week 1,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",1️⃣
12122,Weight,Weight,22,Weech,Weech,7/18/2022,Team 1,Team 1,Week 1,Week 1,22,0,0,22,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",1️⃣
12123,Weight,Weight,27,Sooper,Sooper,7/18/2022,Team 2,Team 2,Week 1,Week 1,0,27,0,27,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",2️⃣
12124,Weight,Weight,41,Brent,Brent,7/18/2022,Team 3,Team 3,Week 1,Week 1,0,0,41,41,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",3️⃣
12125,Weight,Weight,44,Bill,Bill,7/18/2022,Team 3,Team 3,Week 1,Week 1,0,0,44,44,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",3️⃣
12126,Weight,Weight,35,CSlats,CSlats,7/18/2022,Team 1,Team 1,Week 1,Week 1,35,0,0,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",1️⃣
12127,Weight,Weight,43,Oki,Oki,7/18/2022,Team 3,Team 3,Week 1,Week 1,0,0,43,43,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",3️⃣
12128,Weight,Weight,-38,Ty,Ty,7/18/2022,Team 2,Team 2,Week 1,Week 1,0,-38,0,-38,0,0,0,0,0,0,0,0,-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",2️⃣
12129,Weight,Weight,32,Ginn,Ginn,7/18/2022,Team 2,Team 2,Week 1,Week 1,0,32,0,32,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",2️⃣
12130,Run,Run,10,Ty,Ty,7/18/2022,Team 2,Team 2,Week 1,Week 1,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",2️⃣
12131,Run,Run,10,Ty,Ty,7/18/2022,Team 2,Team 2,Week 2,Week 2,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Week 9,"July 18, 2022",2️⃣
